Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo,Giornata,A/R,Federazione
07/03/2026,Atletico Grignano,Mariano Calcio,Pulcini a 7,O,15:00,Comunale (Sint) Via Resistenza 24041 Brembate/Grignano,14,Ritorno,CSI
07/03/2026,Osio Sopra Rossi,Uso Sforzatica,Pulcini a 7,O,15:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,14,Ritorno,CSI
07/03/2026,Or.Osio Sotto 16,Or.Osio Sotto 17,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,14,Ritorno,CSI
07/03/2026,Osgdalmine Blu,Osio Sopra Bianch,Pulcini a 7,O,15:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,14,Ritorno,CSI
14/03/2026,Oriens Brembate,Osgdalmine Blu,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via Marconi 24041 Brembate,15,Ritorno,CSI
14/03/2026,Osio Sopra Bianch,Or.Osio Sotto 16,Pulcini a 7,O,14:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,15,Ritorno,CSI
14/03/2026,Or.Osio Sotto 17,Osio Sopra Rossi,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,15,Ritorno,CSI
14/03/2026,Uso Sforzatica,Atletico Grignano,Pulcini a 7,O,14:30,Or.S.Andrea (Sint) Via Colombo 7/A 24044 Dalmine/Sforzatica,15,Ritorno,CSI
21/03/2026,Mariano Calcio,Uso Sforzatica,Pulcini a 7,O,14:30,Velodromo Via Tofane 1 24044 Dalmine,16,Ritorno,CSI
21/03/2026,Atletico Grignano,Or.Osio Sotto 17,Pulcini a 7,O,15:00,Comunale (Sint) Via Resistenza 24041 Brembate/Grignano,16,Ritorno,CSI
21/03/2026,Osio Sopra Rossi,Osio Sopra Bianch,Pulcini a 7,O,15:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,16,Ritorno,CSI
21/03/2026,Or.Osio Sotto 16,Oriens Brembate,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,16,Ritorno,CSI
28/03/2026,Osgdalmine Blu,Or.Osio Sotto 16,Pulcini a 7,O,15:30,Oratorio (Sintetico) Viale Betelli 1 24044 Dalmine,17,Ritorno,CSI
28/03/2026,Oriens Brembate,Osio Sopra Rossi,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via Marconi 24041 Brembate,17,Ritorno,CSI
28/03/2026,Osio Sopra Bianch,Atletico Grignano,Pulcini a 7,O,14:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,17,Ritorno,CSI
28/03/2026,Or.Osio Sotto 17,Mariano Calcio,Pulcini a 7,O,14:30,Parrocchiale (Sintetico) Via S Alessandro 3 24046 Osio Sotto,17,Ritorno,CSI
11/04/2026,Uso Sforzatica,Or.Osio Sotto 17,Pulcini a 7,O,14:30,Or.S.Andrea (Sint) Via Colombo 7/A 24044 Dalmine/Sforzatica,18,Ritorno,CSI
11/04/2026,Mariano Calcio,Osio Sopra Bianch,Pulcini a 7,O,14:30,Velodromo Via Tofane 1 24044 Dalmine,18,Ritorno,CSI
11/04/2026,Atletico Grignano,Oriens Brembate,Pulcini a 7,O,15:00,Comunale (Sint) Via Resistenza 24041 Brembate/Grignano,18,Ritorno,CSI
11/04/2026,Osio Sopra Rossi,Osgdalmine Blu,Pulcini a 7,O,15:30,Comunale Via Leonardo Da Vinci 35 24040 Osio Sopra,18,Ritorno,CSI
