Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
07/03/2026,Excelsior,Fiorita Bianchi,Esordienti a 11,D,15:30,Excelsior Viale GCesare Sintetico 24123 Bergamo,14,R,CSI
07/03/2026,Virescit,Pons Aureoli,Esordienti a 11,D,15:15,Comunale Via Lochis 24129 Bergamo/Longuelo,14,R,CSI
14/03/2026,Boca Arancio,Virescit,Esordienti a 11,D,16:15,Oratorio Sint Via SGBosco 1 24040 Boltiere,15,R,CSI
14/03/2026,Pons Aureoli,Excelsior,Esordienti a 11,D,16:00,Oratorio Via Vallazza 6 24040 Canonica D'Adda,15,R,CSI
14/03/2026,Fiorita Bianchi,P.Ghezzi Blu,Esordienti a 11,D,15:30,OrSFNeri Sint Via XXV Aprile 1 24058 Romano di Lombardia,15,R,CSI
14/03/2026,Agnelli Olimpia,P.Ghezzi Gialli,Esordienti a 11,D,14:30,Oratorio Sint Via B.Go Palazzo 45 24125 Bergamo,15,R,CSI
21/03/2026,Pol.Dei Colli,Agnelli Olimpia,Esordienti a 11,D,14:30,Utili Via Baioni 46 24123 Bergamo,16,R,CSI
21/03/2026,P.Ghezzi Gialli,Fiorita Bianchi,Esordienti a 11,D,15:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,16,R,CSI
21/03/2026,P.Ghezzi Blu,Pons Aureoli,Esordienti a 11,D,14:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,16,R,CSI
21/03/2026,Excelsior,Boca Arancio,Esordienti a 11,D,15:30,Excelsior Viale GCesare Sintetico 24123 Bergamo,16,R,CSI
28/03/2026,Virescit,Excelsior,Esordienti a 11,D,15:15,Comunale Via Lochis 24129 Bergamo/Longuelo,17,R,CSI
28/03/2026,Boca Arancio,P.Ghezzi Blu,Esordienti a 11,D,16:15,Oratorio Sint Via SGBosco 1 24040 Boltiere,17,R,CSI
28/03/2026,Pons Aureoli,P.Ghezzi Gialli,Esordienti a 11,D,16:00,Oratorio Via Vallazza 6 24040 Canonica D'Adda,17,R,CSI
28/03/2026,Fiorita Bianchi,Pol.Dei Colli,Esordienti a 11,D,15:30,OrSFNeri Sint Via XXV Aprile 1 24058 Romano di Lombardia,17,R,CSI
11/04/2026,Agnelli Olimpia,Fiorita Bianchi,Esordienti a 11,D,14:30,Oratorio Sint Via B.Go Palazzo 45 24125 Bergamo,18,R,CSI
11/04/2026,Pol.Dei Colli,Pons Aureoli,Esordienti a 11,D,14:30,Utili Via Baioni 46 24123 Bergamo,18,R,CSI
11/04/2026,P.Ghezzi Gialli,Boca Arancio,Esordienti a 11,D,15:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,18,R,CSI
11/04/2026,P.Ghezzi Blu,Virescit,Esordienti a 11,D,14:30,Oratorio Via Cristo Risorto 20 20062 Cassano D'Adda,18,R,CSI
