Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
07/03/2026,Pol.Sorisolese,Pontisola Calcio,Pulcini a 7,B,14:30,Oratorio Via San Carlo 36 24010 Sorisole,14,R,CSI
07/03/2026,V.Or.Petosino Blu,Dinamo Gialli,Pulcini a 7,B,14:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,14,R,CSI
07/03/2026,V.Or.Petosino Red,Presezzo Calcio,Pulcini a 7,B,15:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,14,R,CSI
14/03/2026,Presezzo Calcio,V.Or.Petosino Blu,Pulcini a 7,B,14:30,Comunale A7 Sintetico Via Olimpia 3 24030 Presezzo,15,R,CSI
14/03/2026,Dinamo Gialli,Pol.Sorisolese,Pulcini a 7,B,15:00,Oratorio Sintetico Via Terzi S.Agata 8 24035 Curno,15,R,CSI
14/03/2026,Pontisola Calcio,Lemine Almenno Gi,Pulcini a 7,B,14:30,Com.A.Villa Sint Via XXIV Maggio 24036 Ponte S.Pietro,15,R,CSI
14/03/2026,Real Borgogna 17,V.Or.Petosino Red,Pulcini a 7,B,15:00,Sintetico Via Papa Giovanni XXIII 24030 Barzana,15,R,CSI
21/03/2026,Lemine Almenno Ve,Pontisola Calcio,Pulcini a 7,B,15:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,16,R,CSI
21/03/2026,Lemine Almenno Gi,Dinamo Gialli,Pulcini a 7,B,16:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,16,R,CSI
21/03/2026,Pol.Sorisolese,Presezzo Calcio,Pulcini a 7,B,14:30,Oratorio Via San Carlo 36 24010 Sorisole,16,R,CSI
21/03/2026,V.Or.Petosino Blu,V.Or.Petosino Red,Pulcini a 7,B,14:30,Oratorio Via Martiri Della Libertà 95 24010 Sorisole Petosino,16,R,CSI
28/03/2026,Pol.Sorisolese,V.Or.Petosino Blu,Pulcini a 7,B,14:30,Oratorio Via San Carlo 36 24010 Sorisole,17,R,CSI
28/03/2026,Presezzo Calcio,Lemine Almenno Gi,Pulcini a 7,B,14:30,Comunale A7 Sintetico Via Olimpia 3 24030 Presezzo,17,R,CSI
28/03/2026,Dinamo Gialli,Lemine Almenno Ve,Pulcini a 7,B,15:00,Oratorio Sintetico Via Terzi S.Agata 8 24035 Curno,17,R,CSI
28/03/2026,Pontisola Calcio,Real Borgogna 17,Pulcini a 7,B,14:30,Com.A.Villa Sint Via XXIV Maggio 24036 Ponte S.Pietro,17,R,CSI
04/04/2026,Real Borgogna 17,Dinamo Gialli,Pulcini a 7,B,15:00,Sintetico Via Papa Giovanni XXIII 24030 Barzana,18,R,CSI
04/04/2026,Lemine Almenno Ve,Presezzo Calcio,Pulcini a 7,B,15:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,18,R,CSI
04/04/2026,Lemine Almenno Gi,V.Or.Petosino Blu,Pulcini a 7,B,16:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,18,R,CSI
04/04/2026,Pol.Sorisolese,V.Or.Petosino Red,Pulcini a 7,B,14:30,Oratorio Via San Carlo 36 24010 Sorisole,18,R,CSI
