Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
21/03/2026,Gso Botta,Sportimagna,Pulcini a 7,A,14:30,Oratorio Sintetico Via Palazzo 2 24010 Sedrina/Botta,16,R,CSI
21/03/2026,Acc.Villa D'Alme,Brembillese,Pulcini a 7,A,14:30,Comunale a 7 Sint Via Ronco Basso 15 24018 Villa D'Almè,16,R,CSI
21/03/2026,Valserina,Lemine Almenno Bi,Pulcini a 7,A,15:00,Comunale Via Valle 24017 Serina,16,R,CSI
21/03/2026,San Pellegrino,Olmo 1999,Pulcini a 7,A,14:30,Stadio Quarenghi Sint Via B.Belotti 24016 S.Pellegrino Terme,16,R,CSI
28/03/2026,Lemine Almenno Bi,Gso Botta,Pulcini a 7,A,14:30,Comunale Sint Via F.Lli Roncelli 2 24030 Almenno S.Bartolomeo,17,R,CSI
28/03/2026,Acc.Villa D'Alme,Sportimagna,Pulcini a 7,A,14:30,Comunale a 7 Sint Via Ronco Basso 15 24018 Villa D'Almè,17,R,CSI
28/03/2026,Valserina,Brembillese,Pulcini a 7,A,15:00,Comunale Via Valle 24017 Serina,17,R,CSI
28/03/2026,Olmo 1999,San Pellegrino,Pulcini a 7,A,15:00,Comunale Sintetico Via S.Antonio Abate 24010 Olmo al Brembo,17,R,CSI
11/04/2026,Olmo 1999,Acc.Villa D'Alme,Pulcini a 7,A,15:00,Comunale Sintetico Via S.Antonio Abate 24010 Olmo al Brembo,18,R,CSI
11/04/2026,Valserina,Gso Botta,Pulcini a 7,A,15:00,Comunale Via Valle 24017 Serina,18,R,CSI
11/04/2026,Calcio Avbrembana,San Pellegrino,Pulcini a 7,A,14:30,Comunale Via Briolo Entro 24015 S.Giovanni Bianco,18,R,CSI
11/04/2026,Sportimagna,Brembillese,Pulcini a 7,A,14:30,Comunale Sintetico a 7 Via Elia Frosio 6 24038 S.Omobono Terme,18,R,CSI
