Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
15/11/2025,ROVETTA U.S. A.S.D. SQ.B,ZOGNESE,ESORDIENTI 11anni,D,15:45,ROVETTA VIA PAPA GIOVANNI XXIII 12C,7,ANDATA,FIGC
15/11/2025,U.S.CALCIO SAN PELLEGRINO,CITTA DI ALZANO1921 ASD,ESORDIENTI 11anni,D,16:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,7,ANDATA,FIGC
14/03/2026,ARES REDONA,FIORENTE 1946 COLOGNOLA,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,7,RITORNO,FIGC
14/03/2026,ALME,ORATORIO SAN TOMASO,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,7,RITORNO,FIGC
14/03/2026,LEMINE ALMENNO CALCIO,RANICA CALCIO,ESORDIENTI 11anni,D,14:30,ALMENNO SAN SALVATORE VIA LEMEN N1,7,RITORNO,FIGC
14/03/2026,ZOGNESE,ROVETTA U.S. A.S.D. SQ.B,ESORDIENTI 11anni,D,16:00,ZOGNO VIA CAMANCHE SNC,7,RITORNO,FIGC
14/03/2026,CITTA DI ALZANO1921 ASD,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,14:30,ALZANO LOMBARDO VIA GRAZIOLI ANG BALDUZZI 11,7,RITORNO,FIGC
22/11/2025,ALME,RANICA CALCIO,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,8,ANDATA,FIGC
22/11/2025,CITTA DI ALZANO1921 ASD,ROVETTA U.S. A.S.D. SQ.B,ESORDIENTI 11anni,D,14:30,ALZANO LOMBARDO VIA GRAZIOLI ANG BALDUZZI 11,8,ANDATA,FIGC
22/11/2025,LEMINE ALMENNO CALCIO,ARES REDONA,ESORDIENTI 11anni,D,14:30,ALMENNO SAN SALVATORE VIA LEMEN N1,8,ANDATA,FIGC
22/11/2025,U.S.CALCIO SAN PELLEGRINO,FIORENTE 1946 COLOGNOLA,ESORDIENTI 11anni,D,16:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,8,ANDATA,FIGC
22/11/2025,ZOGNESE,ORATORIO SAN TOMASO,ESORDIENTI 11anni,D,16:00,ZOGNO VIA CAMANCHE SNC,8,ANDATA,FIGC
21/03/2026,RANICA CALCIO,ALME,ESORDIENTI 11anni,D,09:00,RANICA PIAZZA L BERTETT SNC,8,RITORNO,FIGC
21/03/2026,ROVETTA U.S. A.S.D. SQ.B,CITTA DI ALZANO1921 ASD,ESORDIENTI 11anni,D,15:45,ROVETTA VIA PAPA GIOVANNI XXIII 12C,8,RITORNO,FIGC
21/03/2026,ARES REDONA,LEMINE ALMENNO CALCIO,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,8,RITORNO,FIGC
21/03/2026,FIORENTE 1946 COLOGNOLA,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,14:30,BERGAMO Q.RE COLOGNOLA VIA S SISTO 9,8,RITORNO,FIGC
21/03/2026,ORATORIO SAN TOMASO,ZOGNESE,ESORDIENTI 11anni,D,16:00,BERGAMO Q.RE S TOMASO VIA SAN TOMASO DE CALVI 26,8,RITORNO,FIGC
29/11/2025,ARES REDONA,ALME,ESORDIENTI 11anni,D,15:45,BERGAMO Q.RE REDONA VIA GOISIS,9,ANDATA,FIGC
29/11/2025,FIORENTE 1946 COLOGNOLA,LEMINE ALMENNO CALCIO,ESORDIENTI 11anni,D,14:30,BERGAMO Q.RE COLOGNOLA VIA S SISTO 9,9,ANDATA,FIGC
29/11/2025,ORATORIO SAN TOMASO,CITTA DI ALZANO1921 ASD,ESORDIENTI 11anni,D,16:00,BERGAMO Q.RE S TOMASO VIA SAN TOMASO DE CALVI 26,9,ANDATA,FIGC
29/11/2025,RANICA CALCIO,ZOGNESE,ESORDIENTI 11anni,D,09:00,RANICA PIAZZA L BERTETT SNC,9,ANDATA,FIGC
29/11/2025,ROVETTA U.S. A.S.D. SQ.B,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 11anni,D,15:45,ROVETTA VIA PAPA GIOVANNI XXIII 12C,9,ANDATA,FIGC
28/03/2026,ALME,ARES REDONA,ESORDIENTI 11anni,D,14:30,ALME VIA OLIMPIA 8,9,RITORNO,FIGC
28/03/2026,LEMINE ALMENNO CALCIO,FIORENTE 1946 COLOGNOLA,ESORDIENTI 11anni,D,14:30,ALMENNO SAN SALVATORE VIA LEMEN N1,9,RITORNO,FIGC
28/03/2026,CITTA DI ALZANO1921 ASD,ORATORIO SAN TOMASO,ESORDIENTI 11anni,D,14:30,ALZANO LOMBARDO VIA GRAZIOLI ANG BALDUZZI 11,9,RITORNO,FIGC
28/03/2026,ZOGNESE,RANICA CALCIO,ESORDIENTI 11anni,D,16:00,ZOGNO VIA CAMANCHE SNC,9,RITORNO,FIGC
28/03/2026,U.S.CALCIO SAN PELLEGRINO,ROVETTA U.S. A.S.D. SQ.B,ESORDIENTI 11anni,D,16:30,SAN PELLEGRINO TERME VIA B BELOTTI 2,9,RITORNO,FIGC
