Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
28/02/2026,Villa D'Adda,Or.Bonate Rossi,Esordienti a 7,F,15:30,"Comunale (Erba) Via G. Donizetti, 4 24030 Villa D'Adda",4,Ritorno,CSI
28/02/2026,Sansone Oratorio,Or.Bonate Bianchi,Esordienti a 7,F,15:00,"Campo Sportivo A.Stefini Via A.Biffi 24030 Caprino B.Sco",4,Ritorno,CSI
28/02/2026,Aurora Terno 15,Medolago 2014,Esordienti a 7,F,14:30,"Oratorio (Sintetico) Via Milano, 4 24030 Terno D'Isola",4,Ritorno,CSI
28/02/2026,AIB,Atletico Grignano,Esordienti a 7,F,15:00,"Parrocchiale Via Manzoni, 24 24040 Chignolo D'Isola",4,Ritorno,CSI
28/02/2026,Oriens Brembate,Medolago 2015,Esordienti a 7,F,16:00,"Parrocchiale (Sintetico) Via Marconi 24041 Brembate",4,Ritorno,CSI
07/03/2026,Oriens Brembate,AIB,Esordienti a 7,F,16:00,"Parrocchiale (Sintetico) Via Marconi 24041 Brembate",5,Ritorno,CSI
07/03/2026,Atletico Grignano,Aurora Terno 15,Esordienti a 7,F,16:00,"Comunale (Sint) Via Resistenza 24041 Brembate/Grignano",5,Ritorno,CSI
07/03/2026,Medolago 2014,Sansone Oratorio,Esordienti a 7,F,15:30,"Comunale (Sint) Via Laterale Adda, 2 24030 Medolago",5,Ritorno,CSI
07/03/2026,Or.Bonate Bianchi,Villa D'Adda,Esordienti a 7,F,16:00,"Oratorio (Sintetico) Via Papa Giovanni,3 24040 Bonate Sopra",5,Ritorno,CSI
07/03/2026,Medolago 2015,Or.Bonate Rossi,Esordienti a 7,F,14:30,"Comunale (Sint) Via Laterale Adda, 2 24030 Medolago",5,Ritorno,CSI
14/03/2026,Or.Bonate Rossi,Or.Bonate Bianchi,Esordienti a 7,F,15:00,"Oratorio (Sintetico) Via Papa Giovanni,3 24040 Bonate Sopra",6,Ritorno,CSI
14/03/2026,Villa D'Adda,Medolago 2014,Esordienti a 7,F,15:30,"Comunale (Erba) Via G. Donizetti, 4 24030 Villa D'Adda",6,Ritorno,CSI
14/03/2026,Sansone Oratorio,Atletico Grignano,Esordienti a 7,F,15:00,"Campo Sportivo A.Stefini Via A.Biffi 24030 Caprino B.Sco",6,Ritorno,CSI
14/03/2026,Aurora Terno 15,Oriens Brembate,Esordienti a 7,F,14:30,"Oratorio (Sintetico) Via Milano, 4 24030 Terno D'Isola",6,Ritorno,CSI
14/03/2026,AIB,Medolago 2015,Esordienti a 7,F,15:00,"Parrocchiale Via Manzoni, 24 24040 Chignolo D'Isola",6,Ritorno,CSI
21/03/2026,AIB,Aurora Terno 15,Esordienti a 7,F,15:00,"Parrocchiale Via Manzoni, 24 24040 Chignolo D'Isola",7,Ritorno,CSI
21/03/2026,Oriens Brembate,Sansone Oratorio,Esordienti a 7,F,16:00,"Parrocchiale (Sintetico) Via Marconi 24041 Brembate",7,Ritorno,CSI
21/03/2026,Atletico Grignano,Villa D'Adda,Esordienti a 7,F,16:00,"Comunale (Sint) Via Resistenza 24041 Brembate/Grignano",7,Ritorno,CSI
21/03/2026,Medolago 2014,Or.Bonate Rossi,Esordienti a 7,F,15:30,"Comunale (Sint) Via Laterale Adda, 2 24030 Medolago",7,Ritorno,CSI
21/03/2026,Medolago 2015,Or.Bonate Bianchi,Esordienti a 7,F,14:30,"Comunale (Sint) Via Laterale Adda, 2 24030 Medolago",7,Ritorno,CSI
28/03/2026,Or.Bonate Bianchi,Medolago 2014,Esordienti a 7,F,16:00,"Oratorio (Sintetico) Via Papa Giovanni,3 24040 Bonate Sopra",8,Ritorno,CSI
28/03/2026,Or.Bonate Rossi,Atletico Grignano,Esordienti a 7,F,15:00,"Oratorio (Sintetico) Via Papa Giovanni,3 24040 Bonate Sopra",8,Ritorno,CSI
28/03/2026,Villa D'Adda,Oriens Brembate,Esordienti a 7,F,15:30,"Comunale (Erba) Via G. Donizetti, 4 24030 Villa D'Adda",8,Ritorno,CSI
28/03/2026,Sansone Oratorio,AIB,Esordienti a 7,F,15:00,"Campo Sportivo A.Stefini Via A.Biffi 24030 Caprino B.Sco",8,Ritorno,CSI
28/03/2026,Medolago 2015,Aurora Terno 15,Esordienti a 7,F,14:30,"Comunale (Sint) Via Laterale Adda, 2 24030 Medolago",8,Ritorno,CSI
11/04/2026,Aurora Terno 15,Sansone Oratorio,Esordienti a 7,F,14:30,"Oratorio (Sintetico) Via Milano, 4 24030 Terno D'Isola",9,Ritorno,CSI
11/04/2026,AIB,Villa D'Adda,Esordienti a 7,F,15:00,"Parrocchiale Via Manzoni, 24 24040 Chignolo D'Isola",9,Ritorno,CSI
11/04/2026,Oriens Brembate,Or.Bonate Rossi,Esordienti a 7,F,16:00,"Parrocchiale (Sintetico) Via Marconi 24041 Brembate",9,Ritorno,CSI
11/04/2026,Atletico Grignano,Or.Bonate Bianchi,Esordienti a 7,F,16:00,"Comunale (Sint) Via Resistenza 24041 Brembate/Grignano",9,Ritorno,CSI
11/04/2026,Medolago 2014,Medolago 2015,Esordienti a 7,F,15:30,"Comunale (Sint) Via Laterale Adda, 2 24030 Medolago",9,Ritorno,CSI

