Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
25/10/2025,ORATORIO SAN TOMASO,BERGAMO FC 1971 ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"BERGAMO Q.RE S.TOMASO - VIA SAN TOMASO DE' CALVI, 26",4,andata,FIGC
28/02/2026,BERGAMO FC 1971 ASD,ORATORIO SAN TOMASO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,BERGAMO Q.RE LORETO - VIA MEUCCI,4,ritorno,FIGC
25/10/2025,PONTERANICA,GRASSOBBIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,PONTERANICA - VIA VIII MARZO,4,andata,FIGC
28/02/2026,GRASSOBBIO,PONTERANICA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"GRASSOBBIO - VIA XXV APRILE,80",4,ritorno,FIGC
01/11/2025,ACC.CALCIO A.V. BREMBANA,ORATORIO SAN TOMASO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,SAN GIOVANNI BIANCO - VIA BRIOLO ENTRO SNC,5,andata,FIGC
07/03/2026,ORATORIO SAN TOMASO,ACC.CALCIO A.V. BREMBANA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"BERGAMO Q.RE S.TOMASO - VIA SAN TOMASO DE' CALVI, 26",5,ritorno,FIGC
01/11/2025,BERGAMO FC 1971 ASD,CELADINA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,BERGAMO Q.RE LORETO - VIA MEUCCI,5,andata,FIGC
07/03/2026,CELADINA,BERGAMO FC 1971 ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,BERGAMO Q.RE CELADINA - VIA PIZZO SCAIS 1,5,ritorno,FIGC
01/11/2025,GRASSOBBIO,EXCELSIOR SEZ. CALCIO ASD,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,"GRASSOBBIO - VIA XXV APRILE,80",5,andata,FIGC
07/03/2026,EXCELSIOR SEZ. CALCIO ASD,GRASSOBBIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:30,"BERGAMO Q.RE S.CATERINA - VIALE GIULIO CESARE,5",5,ritorno,FIGC
01/11/2025,MALPENSATA CAMPAGNOLA,PONTERANICA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:45,BERGAMO Q.RE CAMPAGNOLA - VIA GASPARINI,5,andata,FIGC
07/03/2026,PONTERANICA,MALPENSATA CAMPAGNOLA,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,PONTERANICA - VIA VIII MARZO,5,ritorno,FIGC
01/11/2025,TREALBE CALCIO A.S.D.,LALLIO CALCIO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,TREVIOLO - VIA AREONAUTICA N.3,5,andata,FIGC
07/03/2026,LALLIO CALCIO,TREALBE CALCIO A.S.D.,ESORDIENTI MISTI 9v9 AUT.-BG-,A,14:30,LALLIO - VIA GRAZIA DELEDDA,5,ritorno,FIGC
08/11/2025,CELADINA,ORATORIO SAN TOMASO,ESORDIENTI MISTI 9v9 AUT.-BG-,A,15:00,BERGAMO Q.RE CELADINA - VIA PIZZO SCAIS 1,6,andata,FIGC
