Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
28/02/2026,U.S.CALCIO SAN PELLEGRINO,PALADINA,ESORDIENTI 12 anni,C,15:30,SAN PELLEGRINO TERME VIA B.BELOTTI 2,5,Ritorno,FIGC
28/02/2026,BREMBATE SOPRA C.1947 ASD,ZOGNESE,ESORDIENTI 12 anni,C,14:30,BREMBATE DI SOPRA VIA DON GIOVANNI SALA SNC,5,Ritorno,FIGC
08/11/2025,A.C. PONTE S.P. - MAPsq.C,ZOGNESE,ESORDIENTI 12 anni,C,17:40,MAPELLO VIA DEL LAZZARINO 1,6,Andata,FIGC
08/11/2025,ACCADEMIA SPORTIMAGNA,FIORENTE 1946 COLOGNOSQ.B,ESORDIENTI 12 anni,C,16:30,SANT'OMOBONO TERME VIA ALLE FONTI 2,6,Andata,FIGC
08/11/2025,ALME,PALADINA,ESORDIENTI 12 anni,C,16:30,ALME' VIA OLIMPIA 8,6,Andata,FIGC
08/11/2025,BERGAMO FC 1971 ASD,LEMINE ALMENNO CALCIO,ESORDIENTI 12 anni,C,15:30,BERGAMO Q.RE LORETO VIA MEUCCI,6,Andata,FIGC
08/11/2025,U.S.CALCIO SAN PELLEGRINO,BREMBATE SOPRA C.1947 ASD,ESORDIENTI 12 anni,C,15:30,SAN PELLEGRINO TERME VIA B.BELOTTI 2,6,Andata,FIGC
07/03/2026,ZOGNESE,A.C. PONTE S.P. - MAPsq.C,ESORDIENTI 12 anni,C,16:00,ZOGNO VIA CAMANCHE SNC,6,Ritorno,FIGC
07/03/2026,FIORENTE 1946 COLOGNOSQ.B,ACCADEMIA SPORTIMAGNA,ESORDIENTI 12 anni,C,16:00,BERGAMO Q.RE COLOGNOLA VIA S.SISTO 9,6,Ritorno,FIGC
07/03/2026,PALADINA,ALME,ESORDIENTI 12 anni,C,15:00,PALADINA VIA DEGLI ALPINI 1,6,Ritorno,FIGC
07/03/2026,LEMINE ALMENNO CALCIO,BERGAMO FC 1971 ASD,ESORDIENTI 12 anni,C,15:00,ALMENNO SAN SALVATORE VIA LEMEN N1,6,Ritorno,FIGC
07/03/2026,BREMBATE SOPRA C.1947 ASD,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 12 anni,C,14:30,BREMBATE DI SOPRA VIA DON GIOVANNI SALA SNC,6,Ritorno,FIGC
15/11/2025,BREMBATE SOPRA C.1947 ASD,ALME,ESORDIENTI 12 anni,C,14:30,BREMBATE DI SOPRA VIA DON GIOVANNI SALA SNC,7,Andata,FIGC
15/11/2025,FIORENTE 1946 COLOGNOSQ.B,BERGAMO FC 1971 ASD,ESORDIENTI 12 anni,C,16:00,BERGAMO Q.RE COLOGNOLA VIA S.SISTO 9,7,Andata,FIGC
15/11/2025,LEMINE ALMENNO CALCIO,A.C. PONTE S.P. - MAPsq.C,ESORDIENTI 12 anni,C,15:00,ALMENNO SAN SALVATORE VIA LEMEN N1,7,Andata,FIGC
15/11/2025,PALADINA,ACCADEMIA SPORTIMAGNA,ESORDIENTI 12 anni,C,15:00,PALADINA VIA DEGLI ALPINI 1,7,Andata,FIGC
15/11/2025,ZOGNESE,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 12 anni,C,16:00,ZOGNO VIA CAMANCHE SNC,7,Andata,FIGC
14/03/2026,ALME,BREMBATE SOPRA C.1947 ASD,ESORDIENTI 12 anni,C,16:30,ALME' VIA OLIMPIA 8,7,Ritorno,FIGC
14/03/2026,BERGAMO FC 1971 ASD,FIORENTE 1946 COLOGNOSQ.B,ESORDIENTI 12 anni,C,15:30,BERGAMO Q.RE LORETO VIA MEUCCI,7,Ritorno,FIGC
14/03/2026,A.C. PONTE S.P. - MAPsq.C,LEMINE ALMENNO CALCIO,ESORDIENTI 12 anni,C,17:40,MAPELLO VIA DEL LAZZARINO 1,7,Ritorno,FIGC
14/03/2026,ACCADEMIA SPORTIMAGNA,PALADINA,ESORDIENTI 12 anni,C,16:30,SANT'OMOBONO TERME VIA ALLE FONTI 2,7,Ritorno,FIGC
14/03/2026,U.S.CALCIO SAN PELLEGRINO,ZOGNESE,ESORDIENTI 12 anni,C,15:30,SAN PELLEGRINO TERME VIA B.BELOTTI 2,7,Ritorno,FIGC
22/11/2025,A.C. PONTE S.P. - MAPsq.C,FIORENTE 1946 COLOGNOSQ.B,ESORDIENTI 12 anni,C,17:40,MAPELLO VIA DEL LAZZARINO 1,8,Andata,FIGC
22/11/2025,ACCADEMIA SPORTIMAGNA,BREMBATE SOPRA C.1947 ASD,ESORDIENTI 12 anni,C,16:30,SANT'OMOBONO TERME VIA ALLE FONTI 2,8,Andata,FIGC
22/11/2025,ALME,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 12 anni,C,16:30,ALME' VIA OLIMPIA 8,8,Andata,FIGC
22/11/2025,BERGAMO FC 1971 ASD,PALADINA,ESORDIENTI 12 anni,C,15:30,BERGAMO Q.RE LORETO VIA MEUCCI,8,Andata,FIGC
22/11/2025,LEMINE ALMENNO CALCIO,ZOGNESE,ESORDIENTI 12 anni,C,15:00,ALMENNO SAN SALVATORE VIA LEMEN N1,8,Andata,FIGC
21/03/2026,FIORENTE 1946 COLOGNOSQ.B,A.C. PONTE S.P. - MAPsq.C,ESORDIENTI 12 anni,C,16:00,BERGAMO Q.RE COLOGNOLA VIA S.SISTO 9,8,Ritorno,FIGC
21/03/2026,BREMBATE SOPRA C.1947 ASD,ACCADEMIA SPORTIMAGNA,ESORDIENTI 12 anni,C,14:30,BREMBATE DI SOPRA VIA DON GIOVANNI SALA SNC,8,Ritorno,FIGC
21/03/2026,U.S.CALCIO SAN PELLEGRINO,ALME,ESORDIENTI 12 anni,C,15:30,SAN PELLEGRINO TERME VIA B.BELOTTI 2,8,Ritorno,FIGC
21/03/2026,PALADINA,BERGAMO FC 1971 ASD,ESORDIENTI 12 anni,C,15:00,PALADINA VIA DEGLI ALPINI 1,8,Ritorno,FIGC
21/03/2026,ZOGNESE,LEMINE ALMENNO CALCIO,ESORDIENTI 12 anni,C,16:00,ZOGNO VIA CAMANCHE SNC,8,Ritorno,FIGC
29/11/2025,BREMBATE SOPRA C.1947 ASD,BERGAMO FC 1971 ASD,ESORDIENTI 12 anni,C,14:30,BREMBATE DI SOPRA VIA DON GIOVANNI SALA SNC,9,Andata,FIGC
29/11/2025,FIORENTE 1946 COLOGNOSQ.B,LEMINE ALMENNO CALCIO,ESORDIENTI 12 anni,C,16:00,BERGAMO Q.RE COLOGNOLA VIA S.SISTO 9,9,Andata,FIGC
29/11/2025,PALADINA,A.C. PONTE S.P. - MAPsq.C,ESORDIENTI 12 anni,C,15:00,PALADINA VIA DEGLI ALPINI 1,9,Andata,FIGC
29/11/2025,U.S.CALCIO SAN PELLEGRINO,ACCADEMIA SPORTIMAGNA,ESORDIENTI 12 anni,C,15:30,SAN PELLEGRINO TERME VIA B.BELOTTI 2,9,Andata,FIGC
29/11/2025,ZOGNESE,ALME,ESORDIENTI 12 anni,C,16:00,ZOGNO VIA CAMANCHE SNC,9,Andata,FIGC
28/03/2026,BERGAMO FC 1971 ASD,BREMBATE SOPRA C.1947 ASD,ESORDIENTI 12 anni,C,15:30,BERGAMO Q.RE LORETO VIA MEUCCI,9,Ritorno,FIGC
28/03/2026,LEMINE ALMENNO CALCIO,FIORENTE 1946 COLOGNOSQ.B,ESORDIENTI 12 anni,C,15:00,ALMENNO SAN SALVATORE VIA LEMEN N1,9,Ritorno,FIGC
28/03/2026,A.C. PONTE S.P. - MAPsq.C,PALADINA,ESORDIENTI 12 anni,C,17:40,MAPELLO VIA DEL LAZZARINO 1,9,Ritorno,FIGC
28/03/2026,ACCADEMIA SPORTIMAGNA,U.S.CALCIO SAN PELLEGRINO,ESORDIENTI 12 anni,C,16:30,SANT'OMOBONO TERME VIA ALLE FONTI 2,9,Ritorno,FIGC
28/03/2026,ALME,ZOGNESE,ESORDIENTI 12 anni,C,16:30,ALME' VIA OLIMPIA 8,9,Ritorno,FIGC
