Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora,Indirizzo Campo,Giornata,A/R,Federazione
21/03/2026,Olmo 1999,Pol.Com.Sedrinese,Esordienti a 7,A,15:00,Comunale (Sintetico) Via S.Antonio Abate 24010 Olmo al Brembo,7,Ritorno,CSI
28/03/2026,Pol.Com.Sedrinese,Pro Loco Rigosa,Esordienti a 7,A,15:00,"Parrocchiale Via Cà Damiani, 27 24010 Sedrina",8,Ritorno,CSI
28/03/2026,Brembate Sopra,Dinamopopieluszko,Esordienti a 7,A,16:45,Comunale 7 (Sint) Via Don G.Sala 24030 Brembate di Sopra,8,Ritorno,CSI
28/03/2026,Real Borgogna 15,Presezzo Verde,Esordienti a 7,A,14:30,"Comunale 7 (Sintetico) Via Montebello,2 24030 Palazzago",8,Ritorno,CSI
28/03/2026,Presezzo Bianca,Brembillese,Esordienti a 7,A,15:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",8,Ritorno,CSI
28/03/2026,Olmo 1999,Locate Bergamasco,Esordienti a 7,A,15:00,Comunale (Sintetico) Via S.Antonio Abate 24010 Olmo al Brembo,8,Ritorno,CSI
11/04/2026,Locate Bergamasco,Presezzo Bianca,Esordienti a 7,A,15:30,Parrocchiale Via Delle Rimembranze 14 24036 Ponte San Pietro,9,Ritorno,CSI
11/04/2026,Brembillese,Real Borgogna 15,Esordienti a 7,A,14:30,L.Secomandi Località Piana 24012 Brembilla,9,Ritorno,CSI
11/04/2026,Presezzo Verde,Brembate Sopra,Esordienti a 7,A,14:30,"Comunale A7 (Sintetico) Via Olimpia, 3 24030 Presezzo",9,Ritorno,CSI
11/04/2026,Dinamopopieluszko,Pol.Com.Sedrinese,Esordienti a 7,A,16:00,"Oratorio (Sintetico) Via Terzi S. Agata, 8 24035 Curno",9,Ritorno,CSI
11/04/2026,Pro Loco Rigosa,Olmo 1999,Esordienti a 7,A,14:45,Comunale Frazione Rigosa 24010 Algua/Rigosa,9,Ritorno,CSI
