18/10/2025, Polisportiva Dei Colli, Ares Redona, Pulcini 7>7 10 anni BG, C, 14:30, Bergamo Q.re Valtesse Via Baioni 16,3, Andata, FIGC
18/10/2025, Ponteranica, Scanzorosciate Calcio ASD, Pulcini 7>7 10 anni BG, C, 15:00, Ponteranica Via 8 Marzo 13,3, Andata, FIGC
18/10/2025, Rovetta U.S. ASD, La Torre Calcio ASD, Pulcini 7>7 10 anni BG, C, 15:00, Onore Via Corni 376,3, Andata, FIGC
25/10/2025, Ares Redona, Ponteranica, Pulcini 7>7 10 anni BG, C, 14:30, Bergamo Q.re Redona Via Goisis,4, Andata, FIGC
25/10/2025, Calcio Gorle ASD, Polisportiva Dei Colli, Pulcini 7>7 10 anni BG, C, 14:15, Gorle Via Roma 2A,4, Andata, FIGC
25/10/2025, La Torre Calcio ASD, Aurora Seriate 1967, Pulcini 7>7 10 anni BG, C, 16:30, Torre Boldone Viale Lombardia 44,4, Andata, FIGC
25/10/2025, Rovetta U.S. ASD, Citta  di Alzano1921 ASD, Pulcini 7>7 10 anni BG, C, 15:00, Onore Via Corni 376,4, Andata, FIGC
25/10/2025, Scanzorosciate Calcio ASD, Nembrese 1913, Pulcini 7>7 10 anni BG, C, 14:30, Scanzorosciate Via Polcarezzo 2,4, Andata, FIGC
01/11/2025, Aurora Seriate 1967, Rovetta U.S. ASD, Pulcini 7>7 10 anni BG, C, 14:00, Seriate Via Deco e Canetta 66,5, Andata, FIGC
01/11/2025, Citta  di Alzano1921 ASD, Scanzorosciate Calcio ASD, Pulcini 7>7 10 anni BG, C, 14:30, Alzano Lombardo Via Europa 50,5, Andata, FIGC
01/11/2025, Nembrese 1913, Ares Redona, Pulcini 7>7 10 anni BG, C, 14:30, Nembro Via Nembrini SNC,5, Andata, FIGC
01/11/2025, Polisportiva Dei Colli, La Torre Calcio ASD, Pulcini 7>7 10 anni BG, C, 14:30, Bergamo Q.re Valtesse Via Baioni 16,5, Andata, FIGC
01/11/2025, Ponteranica, Calcio Gorle ASD, Pulcini 7>7 10 anni BG, C, 15:00, Ponteranica Via 8 Marzo 13,5, Andata, FIGC
08/11/2025, Scanzorosciate Calcio ASD, Ares Redona, Pulcini 7>7 10 anni BG, C, 14:30, Scanzorosciate Via Polcarezzo 2,6, Andata, FIGC
08/11/2025, Aurora Seriate 1967, Citta  di Alzano1921 ASD, Pulcini 7>7 10 anni BG, C, 14:00, Seriate Via Deco e Canetta 66,6, Andata, FIGC
08/11/2025, Calcio Gorle ASD, Nembrese 1913, Pulcini 7>7 10 anni BG, C, 14:15, Gorle Via Roma 2A,6, Andata, FIGC
08/11/2025, La Torre Calcio ASD, Ponteranica, Pulcini 7>7 10 anni BG, C, 16:30, Torre Boldone Viale Lombardia 44,6, Andata, FIGC
08/11/2025, Rovetta U.S. ASD, Polisportiva Dei Colli, Pulcini 7>7 10 anni BG, C, 15:00, Onore Via Corni 376,6, Andata, FIGC
15/11/2025, Citta  di Alzano1921 ASD, Ares Redona, Pulcini 7>7 10 anni BG, C, 14:30, Alzano Lombardo Via Europa 50,7, Andata, FIGC
15/11/2025, Nembrese 1913, La Torre Calcio ASD, Pulcini 7>7 10 anni BG, C, 14:30, Nembro Via Nembrini SNC,7, Andata, FIGC
15/11/2025, Polisportiva Dei Colli, Aurora Seriate 1967, Pulcini 7>7 10 anni BG, C, 14:30, Bergamo Q.re Valtesse Via Baioni 16,7, Andata, FIGC
15/11/2025, Ponteranica, Rovetta U.S. ASD, Pulcini 7>7 10 anni BG, C, 15:00, Ponteranica Via 8 Marzo 13,7, Andata, FIGC
15/11/2025, Scanzorosciate Calcio ASD, Calcio Gorle ASD, Pulcini 7>7 10 anni BG, C, 14:30, Scanzorosciate Via Polcarezzo 2,7, Andata, FIGC
