Data,squadra casa,squadra ospite,categoria,girone,ora di gioco,indirizzo campo di gioco,giornata,A/R,federazione
28/02/2026,PONTISOLA CALCIO,CARAVAGGIO SRL,Esordienti 11 anni,Girone A,14:30,CURNO FRAZIONE MARIGOLDA VIA ABRUZZI 9,5,ritorno,FIGC
28/02/2026,CALCIO GORLE A.S.D.,G.S. VERTOVESE SSDARL,Esordienti 11 anni,Girone A,14:15,GORLE VIA ROMA 2A,5,ritorno,FIGC
28/02/2026,ATALANTA BERGAMASCA C.SRL,REAL CALEPINA F.C. SSDARL,Esordienti 11 anni,Girone A,14:30,BREMBATE VIA ORATORIO 20,5,ritorno,FIGC
28/02/2026,UESSE SARNICO 1908 SQ.B,SCANZOROSCIATE CALCIO ASD,Esordienti 11 anni,Girone A,14:30,SARNICO VIA OLIMPIA 4,5,ritorno,FIGC
28/02/2026,A.C. PONTE S.P. - MAPSQ.B,TRITIUM CALCIO 1908 A RL,Esordienti 11 anni,Girone A,16:00,MAPELLO VIA DEL LAZZARINO 1,5,ritorno,FIGC
08/11/2025,A.C. PONTE S.P. - MAPSQ.B,UESSE SARNICO 1908 SQ.B,Esordienti 11 anni,Girone A,16:00,MAPELLO VIA DEL LAZZARINO 1,6,andata,FIGC
08/11/2025,ATALANTA BERGAMASCA C.SRL,TRITIUM CALCIO 1908 A RL,Esordienti 11 anni,Girone A,14:30,BREMBATE VIA ORATORIO 20,6,andata,FIGC
08/11/2025,CALCIO GORLE A.S.D.,CARAVAGGIO SRL,Esordienti 11 anni,Girone A,14:15,GORLE VIA ROMA 2A,6,andata,FIGC
08/11/2025,G.S. VERTOVESE SSDARL,SCANZOROSCIATE CALCIO ASD,Esordienti 11 anni,Girone A,15:00,VERTOVA VIA FORNI 28,6,andata,FIGC
08/11/2025,PONTISOLA CALCIO,REAL CALEPINA F.C. SSDARL,Esordienti 11 anni,Girone A,14:30,CURNO FRAZIONE MARIGOLDA VIA ABRUZZI 9,6,andata,FIGC
07/03/2026,UESSE SARNICO 1908 SQ.B,A.C. PONTE S.P. - MAPSQ.B,Esordienti 11 anni,Girone A,14:30,SARNICO VIA OLIMPIA 4,6,ritorno,FIGC
07/03/2026,TRITIUM CALCIO 1908 A RL,ATALANTA BERGAMASCA C.SRL,Esordienti 11 anni,Girone A,16:45,TREZZO SULL'ADDA VIA ROCCA 19,6,ritorno,FIGC
07/03/2026,CARAVAGGIO SRL,CALCIO GORLE A.S.D.,Esordienti 11 anni,Girone A,15:45,CARAVAGGIO VIA G.CASTOLDI 11,6,ritorno,FIGC
