Data, Squadra Casa, Squadra Ospite, Categoria, Girone, Ora, Indirizzo Campo, Giornata, A/R, Federazione
21/03/2026, Agnelli Olimpia R, Nosari Rossi, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 7, Ritorno, CSI
28/03/2026, Nosari Rossi, Agnelli Olimpia B, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 8, Ritorno, CSI
28/03/2026, Pol.Or.San Tomaso, Nosari Bianchi, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 8, Ritorno, CSI
28/03/2026, Trealbe Calcio, Or.Albino 2017, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 8, Ritorno, CSI
28/03/2026, Or.Villaggiosposi, Pol.Dei Colli, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 8, Ritorno, CSI
28/03/2026, Agnelli Olimpia R, San Paolo Ap, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 8, Ritorno, CSI
12/04/2026, San Paolo Ap, Or.Villaggiosposi, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 9, Ritorno, CSI
11/04/2026, Pol.Dei Colli, Trealbe Calcio, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 9, Ritorno, CSI
11/04/2026, Or.Albino 2017, Pol.Or.San Tomaso, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 9, Ritorno, CSI
12/04/2026, Nosari Bianchi, Nosari Rossi, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 9, Ritorno, CSI
11/04/2026, Agnelli Olimpia B, Agnelli Olimpia R, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 9, Ritorno, CSI




