25/10/2025;ALME SQ.C;SCANZOROSCIATE CALCIO ASD;PRIMI CALCI 7-8anni;C;15:00;ALME' VIA OLIMPIA 8;4;andata;FIGC
25/10/2025;AZZANO CALCIO ASD SQ.C;LALLIO CALCIO;PRIMI CALCI 7-8anni;C;15:00;AZZANO SAN PAOLO VIA STEZZANO 33;4;andata;FIGC
25/10/2025;LA TORRE CALCIO A.S.D.;ORATORI ALZANESE A.S.D.;PRIMI CALCI 7-8anni;C;14:30;TORRE BOLDONE VIALE LOMBARDIA 44;4;andata;FIGC
25/10/2025;VILLA VALLE SSD ARL SQ.B;RANICA CALCIO;PRIMI CALCI 7-8anni;C;10:30;VILLA D'ALME' VIA RONCO BASSO 5;4;andata;FIGC
01/11/2025;LALLIO CALCIO;ALME SQ.C;PRIMI CALCI 7-8anni;C;14:30;LALLIO VIA EVARISTO BASCHENIS;5;andata;FIGC
01/11/2025;PONTERANICA SQ.B;AZZANO CALCIO ASD SQ.C;PRIMI CALCI 7-8anni;C;15:00;PONTERANICA VIA VIII MARZO;5;andata;FIGC
01/11/2025;RANICA CALCIO;LA TORRE CALCIO A.S.D.;PRIMI CALCI 7-8anni;C;14:30;RANICA PIAZZA L BERTETT SNC;5;andata;FIGC
01/11/2025;SCANZOROSCIATE CALCIO ASD;VILLA VALLE SSD ARL SQ.B;PRIMI CALCI 7-8anni;C;14:30;SCANZOROSCIATE VIA POLCAREZZO 2;5;andata;FIGC
08/11/2025;ALME SQ.C;PONTERANICA SQ.B;PRIMI CALCI 7-8anni;C;15:00;ALME' VIA OLIMPIA 8;6;andata;FIGC
08/11/2025;LA TORRE CALCIO A.S.D.;SCANZOROSCIATE CALCIO ASD;PRIMI CALCI 7-8anni;C;14:30;TORRE BOLDONE VIALE LOMBARDIA 44;6;andata;FIGC
08/11/2025;RANICA CALCIO;ORATORI ALZANESE A.S.D.;PRIMI CALCI 7-8anni;C;14:30;RANICA PIAZZA L BERTETT SNC;6;andata;FIGC
08/11/2025;VILLA VALLE SSD ARL SQ.B;LALLIO CALCIO;PRIMI CALCI 7-8anni;C;10:30;VILLA D'ALME' VIA RONCO BASSO 5;6;andata;FIGC
15/11/2025;LALLIO CALCIO;LA TORRE CALCIO A.S.D.;PRIMI CALCI 7-8anni;C;14:30;LALLIO VIA EVARISTO BASCHENIS;7;andata;FIGC
15/11/2025;ORATORI ALZANESE A.S.D.;AZZANO CALCIO ASD SQ.C;PRIMI CALCI 7-8anni;C;14:30;ALZANO LOMBARDO FRAZIONE NESE VIA MONTELUNGO 3;7;andata;FIGC
15/11/2025;PONTERANICA SQ.B;VILLA VALLE SSD ARL SQ.B;PRIMI CALCI 7-8anni;C;15:00;PONTERANICA VIA VIII MARZO;7;andata;FIGC
15/11/2025;SCANZOROSCIATE CALCIO ASD;RANICA CALCIO;PRIMI CALCI 7-8anni;C;14:30;SCANZOROSCIATE VIA POLCAREZZO 2;7;andata;FIGC
22/11/2025;ALME SQ.C;AZZANO CALCIO ASD SQ.C;PRIMI CALCI 7-8anni;C;15:00;ALME' VIA OLIMPIA 8;8;andata;FIGC
22/11/2025;LA TORRE CALCIO A.S.D.;PONTERANICA SQ.B;PRIMI CALCI 7-8anni;C;14:30;TORRE BOLDONE VIALE LOMBARDIA 44;8;andata;FIGC
22/11/2025;RANICA CALCIO;LALLIO CALCIO;PRIMI CALCI 7-8anni;C;14:30;RANICA PIAZZA L BERTETT SNC;8;andata;FIGC
22/11/2025;SCANZOROSCIATE CALCIO ASD;ORATORI ALZANESE A.S.D.;PRIMI CALCI 7-8anni;C;14:30;SCANZOROSCIATE VIA POLCAREZZO 2;8;andata;FIGC
29/11/2025;AZZANO CALCIO ASD SQ.C;VILLA VALLE SSD ARL SQ.B;PRIMI CALCI 7-8anni;C;15:00;AZZANO SAN PAOLO VIA STEZZANO 33;9;andata;FIGC
29/11/2025;LALLIO CALCIO;SCANZOROSCIATE CALCIO ASD;PRIMI CALCI 7-8anni;C;14:30;LALLIO VIA EVARISTO BASCHENIS;9;andata;FIGC
29/11/2025;ORATORI ALZANESE A.S.D.;ALME SQ.C;PRIMI CALCI 7-8anni;C;14:30;ALZANO LOMBARDO FRAZIONE NESE VIA MONTELUNGO 3;9;andata;FIGC
29/11/2025;PONTERANICA SQ.B;RANICA CALCIO;PRIMI CALCI 7-8anni;C;15:00;PONTERANICA VIA VIII MARZO;9;andata;FIGC
