21/02/2026, VILLA VALLE SSD ARL, JUVENES GIANNI RADICI, ESORDIENTI 11anni, B, 16:00, Villa Dalme VIA RONCO BASSO 5, 4, Ritorno, FIGC
01/11/2025, CISANESE A.S.D., CALCIO BRUSAPORTO, ESORDIENTI 11anni, B, 17:00, Cisano Bergamasco VIA CADE VOLPI 7, 5, Andata, FIGC
01/11/2025, TREVIGLIESE S.S.D. A.R.L., JUVENES GIANNI RADICI, ESORDIENTI 11anni, B, 16:30, Treviglio VIA MALGARI 1, 5, Andata, FIGC
01/11/2025, UESSE SARNICO 1908, ALBINOLEFFE S.R.L., ESORDIENTI 11anni, B, 16:00, Sarnico VIA DONATORI DEL SANGUE 5, 5, Andata, FIGC
01/11/2025, VILLA VALLE SSD ARL, COLOGNESE, ESORDIENTI 11anni, B, 16:00, Villa Dalme VIA RONCO BASSO 5, 5, Andata, FIGC
01/11/2025, VIRTUSCISERANOBERGAMO1909, A.C. PONTE S.P. - MAPELLO, ESORDIENTI 11anni, B, 14:30, Ciserano VIA MAZZINI 13, 5, Andata, FIGC
28/02/2026, CALCIO BRUSAPORTO, CISANESE A.S.D., ESORDIENTI 11anni, B, 14:00, Brusaporto VIA BELVEDERE 1, 5, Ritorno, FIGC
28/02/2026, JUVENES GIANNI RADICI, TREVIGLIESE S.S.D. A.R.L., ESORDIENTI 11anni, B, 16:30, Parre VIA ROMA 33, 5, Ritorno, FIGC
28/02/2026, ALBINOLEFFE S.R.L., UESSE SARNICO 1908, ESORDIENTI 11anni, B, 15:45, Zanica VIA COMUN NUOVO 26-28, 5, Ritorno, FIGC
28/02/2026, COLOGNESE, VILLA VALLE SSD ARL, ESORDIENTI 11anni, B, 14:30, Cologno Al Serio VIA DELLE GALOSE BETOSCA, 5, Ritorno, FIGC
28/02/2026, A.C. PONTE S.P. - MAPELLO, VIRTUSCISERANOBERGAMO1909, ESORDIENTI 11anni, B, 16:00, Mapello VIA DEL LAZZARINO 1, 5, Ritorno, FIGC
08/11/2025, A.C. PONTE S.P. - MAPELLO, VILLA VALLE SSD ARL, ESORDIENTI 11anni, B, 16:00, Mapello VIA DEL LAZZARINO 1, 6, Andata, FIGC
08/11/2025, ALBINOLEFFE S.R.L., VIRTUSCISERANOBERGAMO1909, ESORDIENTI 11anni, B, 15:45, Zanica VIA COMUN NUOVO 26-28, 6, Andata, FIGC
08/11/2025, COLOGNESE, TREVIGLIESE S.S.D. A.R.L., ESORDIENTI 11anni, B, 14:30, Cologno Al Serio VIA DELLE GALOSE BETOSCA, 6, Andata, FIGC
08/11/2025, JUVENES GIANNI RADICI, CALCIO BRUSAPORTO, ESORDIENTI 11anni, B, 16:30, Parre VIA ROMA 33, 6, Andata, FIGC
08/11/2025, UESSE SARNICO 1908, CISANESE A.S.D., ESORDIENTI 11anni, B, 16:00, Sarnico VIA DONATORI DEL SANGUE 5, 6, Andata, FIGC
